,Begin,End,class,Count,From,To
0,0,3600,cars_SUV,3,id3,id1
1,0,3600,taxi,0,id4,id2
2,0,3600,buses,0,id4,id2
3,0,3600,smallTrucks,0,id4,id2
4,0,3600,largeTrucks,0,id4,id2
5,0,3600,bicycle_tricycle,0,id4,id2
6,0,3600,jeepney,0,id4,id2
7,0,3600,motorela,0,id4,id2
8,0,3600,others,0,id4,id2
9,0,3600,cars_SUV,13,id1,id4
10,0,3600,motorcycles_scooters,19,id1,id4
11,0,3600,taxi,4,id1,id4
12,0,3600,buses,0,id1,id4
13,0,3600,smallTrucks,2,id1,id4
14,0,3600,largeTrucks,0,id1,id4
15,0,3600,bicycle_tricycle,2,id1,id4
16,0,3600,jeepney,0,id1,id4
17,0,3600,cars_SUV,5,id4,id3
18,0,3600,motorcycles_scooters,0,id4,id2
19,0,3600,cars_SUV,0,id4,id2
20,0,3600,cars_SUV,3,id3,id1
21,0,3600,motorcycles_scooters,3,id3,id1
22,0,3600,cars_SUV,5,id4,id3
23,0,3600,motorcycles_scooters,22,id4,id3
24,0,3600,taxi,5,id4,id3
25,0,3600,buses,0,id4,id3
26,0,3600,smallTrucks,1,id4,id3
27,0,3600,largeTrucks,0,id4,id3
28,0,3600,bicycle_tricycle,0,id4,id3
29,0,3600,jeepney,1,id4,id3
30,0,3600,motorcycles_scooters,22,id4,id3
31,0,3600,motorela,59,id4,id3
32,0,3600,others,0,id3,id1
33,0,3600,motorela,7,id3,id1
34,0,3600,jeepney,1,id3,id1
35,0,3600,bicycle_tricycle,0,id3,id1
36,0,3600,largeTrucks,0,id3,id1
37,0,3600,smallTrucks,0,id3,id1
38,0,3600,buses,0,id3,id1
39,0,3600,taxi,1,id3,id1
40,0,3600,others,8,id4,id3
41,0,3600,taxi,5,id4,id3
42,0,3600,buses,0,id4,id3
43,0,3600,smallTrucks,1,id4,id3
44,0,3600,smallTrucks,2,id1,id4
45,0,3600,largeTrucks,0,id1,id4
46,0,3600,bicycle_tricycle,2,id1,id4
47,0,3600,jeepney,0,id1,id4
48,0,3600,motorela,44,id1,id4
49,0,3600,others,1,id1,id4
50,0,3600,others,0,id4,id2
51,0,3600,motorela,0,id4,id2
52,0,3600,buses,0,id1,id4
53,0,3600,jeepney,0,id4,id2
54,0,3600,largeTrucks,0,id4,id2
55,0,3600,smallTrucks,0,id4,id2
56,0,3600,buses,0,id4,id2
57,0,3600,taxi,0,id4,id2
58,0,3600,motorcycles_scooters,0,id4,id2
59,0,3600,cars_SUV,0,id4,id2
60,0,3600,cars_SUV,27,id1,id2
61,0,3600,motorcycles_scooters,18,id1,id2
62,0,3600,bicycle_tricycle,0,id4,id2
63,0,3600,cars_SUV,9,id3,id4
64,0,3600,taxi,4,id1,id4
65,0,3600,cars_SUV,13,id1,id4
66,0,3600,largeTrucks,0,id4,id3
67,0,3600,bicycle_tricycle,0,id4,id3
68,0,3600,jeepney,1,id4,id3
69,0,3600,motorela,59,id4,id3
70,0,3600,others,8,id4,id3
71,0,3600,others,8,id4,id3
72,0,3600,motorela,59,id4,id3
73,0,3600,jeepney,1,id4,id3
74,0,3600,motorcycles_scooters,19,id1,id4
75,0,3600,bicycle_tricycle,0,id4,id3
76,0,3600,smallTrucks,1,id4,id3
77,0,3600,buses,0,id4,id3
78,0,3600,taxi,5,id4,id3
79,0,3600,motorcycles_scooters,22,id4,id3
80,0,3600,cars_SUV,5,id4,id3
81,0,3600,motorela,44,id1,id4
82,0,3600,others,1,id1,id4
83,0,3600,motorcycles_scooters,0,id2,id3
84,0,3600,largeTrucks,0,id4,id3
85,0,3600,motorcycles_scooters,30,id3,id4
86,0,3600,taxi,2,id3,id4
87,0,3600,buses,0,id3,id4
88,0,3600,largeTrucks,0,id4,id3
89,0,3600,smallTrucks,1,id4,id3
90,0,3600,buses,0,id4,id3
91,0,3600,taxi,5,id4,id3
92,0,3600,motorcycles_scooters,22,id4,id3
