,Time,class,Count,From,To
0,5:00am - 6:00am,cars_SUV,13,North,West
1,5:00am - 6:00am,motorcycles_scooters,19,North,West
2,5:00am - 6:00am,taxi,4,North,West
3,5:00am - 6:00am,buses,,North,West
4,5:00am - 6:00am,smallTrucks,2,North,West
5,5:00am - 6:00am,largeTrucks,,North,West
6,5:00am - 6:00am,bicycle_tricycle,2,North,West
7,5:00am - 6:00am,jeepney,,North,West
8,5:00am - 6:00am,motorela,44,North,West
9,5:00am - 6:00am,others,1,North,West
10,6:00am - 7:00am,cars_SUV,14,North,West
11,6:00am - 7:00am,motorcycles_scooters,47,North,West
12,6:00am - 7:00am,taxi,20,North,West
13,6:00am - 7:00am,buses,,North,West
14,6:00am - 7:00am,smallTrucks,1,North,West
15,6:00am - 7:00am,largeTrucks,,North,West
16,6:00am - 7:00am,bicycle_tricycle,7,North,West
17,6:00am - 7:00am,jeepney,,North,West
18,6:00am - 7:00am,motorela,88,North,West
19,6:00am - 7:00am,others,2,North,West
20,7:00am - 8:00am,cars_SUV,49,North,West
21,7:00am - 8:00am,motorcycles_scooters,89,North,West
22,7:00am - 8:00am,taxi,24,North,West
23,7:00am - 8:00am,buses,,North,West
24,7:00am - 8:00am,smallTrucks,2,North,West
25,7:00am - 8:00am,largeTrucks,1,North,West
26,7:00am - 8:00am,bicycle_tricycle,8,North,West
27,7:00am - 8:00am,jeepney,,North,West
28,7:00am - 8:00am,motorela,143,North,West
29,7:00am - 8:00am,others,3,North,West
30,8:00am - 9:00am,cars_SUV,116,North,West
31,8:00am - 9:00am,motorcycles_scooters,143,North,West
32,8:00am - 9:00am,taxi,27,North,West
33,8:00am - 9:00am,buses,,North,West
34,8:00am - 9:00am,smallTrucks,6,North,West
35,8:00am - 9:00am,largeTrucks,,North,West
36,8:00am - 9:00am,bicycle_tricycle,9,North,West
37,8:00am - 9:00am,jeepney,,North,West
38,8:00am - 9:00am,motorela,236,North,West
39,8:00am - 9:00am,others,7,North,West
40,9:00am - 10:00am,cars_SUV,128,North,West
41,9:00am - 10:00am,motorcycles_scooters,155,North,West
42,9:00am - 10:00am,taxi,28,North,West
43,9:00am - 10:00am,buses,,North,West
44,9:00am - 10:00am,smallTrucks,9,North,West
45,9:00am - 10:00am,largeTrucks,,North,West
46,9:00am - 10:00am,bicycle_tricycle,7,North,West
47,9:00am - 10:00am,jeepney,,North,West
48,9:00am - 10:00am,motorela,204,North,West
49,9:00am - 10:00am,others,1,North,West
50,10:00am - 11:00am,cars_SUV,137,North,West
51,10:00am - 11:00am,motorcycles_scooters,134,North,West
52,10:00am - 11:00am,taxi,40,North,West
53,10:00am - 11:00am,buses,,North,West
54,10:00am - 11:00am,smallTrucks,8,North,West
55,10:00am - 11:00am,largeTrucks,1,North,West
56,10:00am - 11:00am,bicycle_tricycle,5,North,West
57,10:00am - 11:00am,jeepney,,North,West
58,10:00am - 11:00am,motorela,178,North,West
59,10:00am - 11:00am,others,3,North,West
60,11:00am - 12:00nn,cars_SUV,126,North,West
61,11:00am - 12:00nn,motorcycles_scooters,129,North,West
62,11:00am - 12:00nn,taxi,30,North,West
63,11:00am - 12:00nn,buses,,North,West
64,11:00am - 12:00nn,smallTrucks,6,North,West
65,11:00am - 12:00nn,largeTrucks,1,North,West
66,11:00am - 12:00nn,bicycle_tricycle,14,North,West
67,11:00am - 12:00nn,jeepney,,North,West
68,11:00am - 12:00nn,motorela,193,North,West
69,11:00am - 12:00nn,others,4,North,West
70,12:00nn - 1:00pm,cars_SUV,93,North,West
71,12:00nn - 1:00pm,motorcycles_scooters,84,North,West
72,12:00nn - 1:00pm,taxi,33,North,West
73,12:00nn - 1:00pm,buses,,North,West
74,12:00nn - 1:00pm,smallTrucks,5,North,West
75,12:00nn - 1:00pm,largeTrucks,,North,West
76,12:00nn - 1:00pm,bicycle_tricycle,3,North,West
77,12:00nn - 1:00pm,jeepney,,North,West
78,12:00nn - 1:00pm,motorela,185,North,West
79,12:00nn - 1:00pm,others,,North,West
80,1:00pm - 2:00pm,cars_SUV,138,North,West
81,1:00pm - 2:00pm,motorcycles_scooters,120,North,West
82,1:00pm - 2:00pm,taxi,34,North,West
83,1:00pm - 2:00pm,buses,,North,West
84,1:00pm - 2:00pm,smallTrucks,11,North,West
85,1:00pm - 2:00pm,largeTrucks,,North,West
86,1:00pm - 2:00pm,bicycle_tricycle,6,North,West
87,1:00pm - 2:00pm,jeepney,,North,West
88,1:00pm - 2:00pm,motorela,171,North,West
89,1:00pm - 2:00pm,others,,North,West
90,2:00pm - 3:00pm,cars_SUV,139,North,West
91,2:00pm - 3:00pm,motorcycles_scooters,111,North,West
92,2:00pm - 3:00pm,taxi,19,North,West
93,2:00pm - 3:00pm,buses,,North,West
94,2:00pm - 3:00pm,smallTrucks,12,North,West
95,2:00pm - 3:00pm,largeTrucks,,North,West
96,2:00pm - 3:00pm,bicycle_tricycle,1,North,West
97,2:00pm - 3:00pm,jeepney,,North,West
